username,waktu,teks_bersih,Infrastruktur & Jalan,Lingkungan & Sampah,Air & Sanitasi,Bencana & Cuaca,Transportasi,Pelayanan Publik,Ekonomi & UMKM,Keamanan & Sosial,Pendidikan,Kesehatan,urgensi,sentimen,lokasi_insiden
@ANTARABengkulu,Apr 1,Antara Bengkulu Menteri Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Arifah Fauzi mengatakan masih banyak anak perempuan yang berhenti sekolah karena perkawinan anak maupun keterbatasan ekonomi.,0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@ARKA6661,Mar 28,"عبیدالله بن جحش ۵۸۹ Ini benar..
TDK akan ada Nanak yg kelaparan selama mampu bersekolah.

Namun bagi anak yg dan terpaksa jualan kerupuk di lampu merah, tetap Tidka akan kelaparan..karena kerupuk nya yg akan mengenyangkan mereka jika dagangan nya ga laku. putus sekolah 1.0",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@ARKA6661,Mar 28,"عبیدالله بن جحش ۵۸۹ Yg berbeda ideologi kalau turun ke jalan bakal di dorrrr...

Yg bela pemerintah di biarin penuhi jalan. pun TDK apa apa.

Hm.... Macet",0,0,0,0,1,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@ATGCDR,ㄷㄹㄹ,Aku ga nangis seharian td cuma netes bentar pas baca boba Jiji tp ini aku abis mandi abis makan lampu mati udah minum obat terus baca boba Lele langsung tersedu2 14h,1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@A_Widiantoro994,15m,"Agung Widiantoro Kalo harga BBM di naikan tapi jalur distribusi masih terjadi konflik apakah BBM di Indonesia akan lancar? Dan kira-kira jika harga BBM naik, distribusi BBM apakah tidak akan berpengaruh ke sektor ekonomi yg lain? Kalo berpengaruh sikap rakyat akan gimana ya? macet",0,0,0,0,1,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AbdulRahimWahab,Apr 1,"Abdul Rahim Wahab tidak ubah seperti,

""Ayam di kepuk mati kelaparan, itik di Negaraku

Terkait isu kenaikan harga bahan bakar, situasi air mati",0,0,1,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AdhiFahrul,Apr 1,IdiotSlayer Nnti pas mati kuburannya bau sampah,0,1,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AdiKurnadi71,20h,Adi Kur. Negara dan rakyat jelatapun bangga dan merasa gagah jika sdh bisa malak dan mengambil hak orang lain. pungli,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Adoringlyou,Apr 3,"Dfawk tepar soalnya bayar dlm kondisi pengangguran

emg lg merajalela phk",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Adventurequ7676,Apr 3,"Adventure xyz Prlu transparansi dr si p'hutang (sblm wft) kpd klg'a bhw ia ada htg kpd ssorg. Mk htg tsb dibyrkn dr hrt pninggalan'a. Jk tdk mckpi, mk klg bsr'a menanggung bbn htg tsb. penagih jg tdk boleh zhalim dg menahan proses pnguburan jnzh. Biarlh mslh itu diselesaikn dg ahli waris. Phk",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AdzkiyaIna,inara adzkiya,"80 thn merdeka, tapi masih ada warga yang harus lahiran di hutan gara-gara 2.5K jalan rusak . Ironisnya, daerah sebelahnya justru penghasil aspal kelas dunia. Kok bisa ya, aspalnya ada tapi jalannya tetep amburadul Kesejahteraan masyarakat Kopeang
 Peduli Mamuju | Clara Shinta | Senin Mar 30",1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Afir24,Mar 28,. Republik Negeri Surga Para Preman Pungli,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Agus_Herdiono86,4h,Yoyon agus Herdiono,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Agus_Herdiono86,Mar 28,Yoyon agus Herdiono,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Ahans_99,Mar 28,Ahans99 air keruh Pengen dipersekusi kedua kali bro?? Mancing2 di kau!?!?,0,0,1,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Aingpinman,20h,HAJI PINMAN Hub Pungli Pungli 1.0,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Aisyahnurafe,Mar 28,aisyah nurafe Seorang kepala rumah tangga alias bapaknya pengangguran & ibunya yang seorang ibu rumah tangga serta tidak bekerja malah mengeksploitasi anaknya yang berusia 13 tahun & akibat keluarga dengan ekonomi berantakan malah disuruh bekerja bukannya belajar selayaknya anak 1.0 putus sekolah,0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AjidaFams,6m,"Ajida Fams Udah nyaman, ga , gratis lagi… Green SM Bali emang solusi macet #GreenSMGratisdiBali",0,0,0,0,1,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Akargigisusu,10h,"Mardiansyah Perusahaan gabisa asal pecat atau , karna akan ada konsekuensi pesangon. sebaliknya dengan resign. jadi perusahaan gamau rugi juga sebetulnya. CMIIW~ phk",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AkuntanYeah,2h,CUMA AKUNTAN DOANG Para software engineers yang di masa kejayaannya startup mengalami standar gaji besar setelah bbrp tahun kemudian malah di Bahkan 5 taun aja bisa jadi terlalu lama PHK,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AkuntanYeah,Apr 3,"CUMA AKUNTAN DOANG tapi memang sebaiknya gitu gak sih?

maksud gue kalo jadi deket sama kolega dan orang2 di kerjaan jadi akan sulit dan bias ketika harus ambil keputusan2 yang berpotensi konflik atau mengganggu pertemanan seperti bilang ke anak buah kalo dia kena kaya yang dialami para 3K PHK",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AlexHardy8409,35m,"Alex Hardy Ini nih yg sering lemot, bikin macet",0,0,0,0,1,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Alfianwisnu087,Mar 28,Wardana Wkwkwk oke siap si paling bebas macet,0,0,0,0,1,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Alisheryvx,Mar 31,𝐒𝐡𝐲𝐥.𝐚 air keruh kan hidup di jd ga ush heran klo pada sefrekuensi mereka,0,0,1,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AlvianB48,Alviaannnn,Lampu mati 2.2K = End Live Apr 1,1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Amma03231815,Mar 30,White Princess Warrior bau sampah,0,1,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AnakLolina2,Rizman Ktb,"Betapa bangsat nya, cobalah dana MBG d bagi bagi ke ke daerah2 yg jln nya hancur begini, gk ada lg rakyat yg beranak d jalan rusak Mar 30",1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Angelinie09,26m,Angel Mas mabuti pang maging delulu sa mga sikat kaysa mafall sa tao maling,0,0,0,0,0,0,0,1,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,16h,PhK A,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,16h,PhK D,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,16h,"PhK On pourrait croire que ce sont des lunettes de soleil 
Baaaaah non la technologie palestinienne a mis au point des lunettes de lune",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,19h,PhK Connerie,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,19h,PhK Et encore……,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,19h,PhK La marche des pauvretés,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,19h,PhK Raus !!!,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,22h,"PhK Faut laisser faire 
Dans un an il est viré par les honnêtes gens ou alors c est le disney land des punks a chiens",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,5h,PhK C’est de la merde,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,Apr 3,PhK A,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngesBleus45,Apr 3,PhK St Denis bientôt le plus grand dépotoir de France,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AngkuKayo,Apr 3,Edri Fauzen Sekiranya ada bukan copot...copot...copot......nteklah PHK,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Angripawenang,Mar 31,"Angri Animalium Ya contoh paling gampangnya ya kultur logika mistika di indo ini

Elit babat hutan adat, buang limbah",0,1,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Aninzuliii,ninu ninu,"banjir Sebelum kmren, h-2 lebaran kalau ga salah jga sempet di jl Soekarno-Hatta hujan angin pohon tumbang kanan kiri ditambah , trs seminggu lalu jga hujan es+angin reklame ambruk. Beneran kaga diperhatikan bgt ni kota sama pengurusnya 18m",0,0,0,1,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AnkoroMochi_sa,1h,ankoromochi air mati Betul...boncos buat renov...saluran air gak jelas...pdamnya anjing tiap minggu kalo nggak,0,0,1,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Annas_Cim,44m,"Qyanqyun Maling ayam aduan,mahal ini",0,0,0,0,0,0,0,1,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Annas_Cim,Apr 1,"Qyanqyun Subhanallah,,murid perhatian nya kekurangan guru 1.0",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Annas_Cim,Mar 30,Qyanqyun Bagus di alihkan aja buat anak2 putus sekolah,0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AnwarOjat,4h,Ojat Anwar Pokoknya BBM melambung migrasi kekendaraan listrik untuk NKRI lebih bersih dari polusi udara,0,1,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Anwarbohebo,Apr 2,"Anwar Bohebolo Nah tuh berkat MBG anak² jadi pinter kan. Diterima di Universitas favorite. Tapi sesudah itu ya jd pengangguran ga bisa lanjutin, karna MBG nya anggarannya kegedean sampe ngambil anggaran pendidikan lainnya. putus sekolah 3.0",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@ArChaa30,totalaqua,OHHHH JALAN RUSAK YANG INI. iya ih jadi bagus Apr 2,1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AraituLaki,1h,TahooMan Malah an… tawur,0,0,0,0,0,0,0,1,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Ardaffaf,16m,"Ardaffa Masih developing sebenarnya.

Tapi yang jadi problemnya, kecepatannya terlalu pelan.

Mereka harus bisa naikin kecepatan pengembangannya karena ga mungkin lama-lama bergantung sama jalan raya / tol terus menerus.

Apalagi Saigon sama Hanoi itu kalo soal , lumayan parah.",0,0,0,0,1,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Ari3Ghozi,18h,"Ari3 Ghozi أرى غزى Diperparah jg dg impor pick up dari India, 105 rb mobil

Belasan Ribu Buruh di Jabar Terkena , Mayoritas Dari Industri Otomotif - PHK",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AriefRohman_838,Apr 3,"BUPATI BLORA Tahun depan di Kabupaten Blora tidak akan ada ASN PPPK. 
Anggaran gaji ASN PPPK sudah diperhitungkan. 

Teman-teman ASN PPPK tidak perlu resah, fokus kerja berikan pelayanan terbaik untuk masyarakat PHK",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Artifisialism,Apr 3,"Artifisal Life Kemiskinan, jalan rusak, jawabannya MBGe sekolah rusak",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Aryadwiwarna1,Apr 2,Aryadwiwarna Ada nggak sich sumber daya energi listrik yang dihasilkan dari bau sampah,0,1,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AsinanAsasin,17h,"Kekuatan pejabutnya korupsi, rakyatnya , kombinasi dajjal pungli",0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Aurumviz,Mar 31,aru air mati asramamampang ini 3 kali ya ankemgggg pas aku lagi mandi,0,0,1,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BANGSAygSUJUD,1h,"B. Prasetya Realisasi tahap awal 16.000+ sekolah direvitalisasi

Itu belum 166 Sekolah Rakyat Berasrama dan MBG juga pembelajaran modern

Kalo di daerahmu ada anak desil 1 & 2 share kita bantu ke SR, gratis kuliah, bahkan kalo pinter dikuliahkan ke Univ ternama di luar negeri 1.0 putus sekolah",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BANGSAygSUJUD,4h,B. Prasetya Dari twit PHK PHK,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BANGSAygSUJUD,Mar 31,"B. Prasetya Oh ya kalo ada disekitar bapak ada anak2 atau keluarganya miskin ekstrem atau miskin masuk desil 1 dan 2 tolong koordinasikan dg desa dan dinas sosial agar anak2 itu bisa sekolah di Sekolah Rakyat

Tahun ajaran ini menerima 30.000 siswa di seluruh Indonesia 1.0 putus sekolah",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BPJSTKinfo,7h,"BPJS Ketenagakerjaan Hai Sahabat. Perihal klaim Jaminan Hari Tua (JHT), jika tidak bekerja karena mengundurkan diri atau ada masa tunggu 30 hari setelah tanggal nonaktif baru bisa klaim, jika habis kontrak tidak ada masa tunggunya. Tks -Tiwi PHK",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BTaliawo49910,1h,Hama wereng Da n pungli,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BTaliawo49910,1h,"Hama wereng Kurikulum tsb 90% Berisikan ttg Budi pekerti, HAM...Sopan santun dan Agama...juga pengajarnya dari 
tokoh masyarakat,tokoh agama dan dari Kepolisian.
Jgn lupa dlm kurikulum tsb setiap anggota Kepolisian di larang menerima suap dan melakukan pungli",0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BadarMalila,4m,"Badar malila Green SM Bali Gratis ini cocok banget buat ngindarin sama panas, tinggal santai aja macet #GreenSMGratisdiBali",0,0,0,0,1,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BagusDLiran,Black&Blue,"Apasih susahnya pejabat minimal aspal jalan rusak , lampu jalan ganti yang mati, uangnya bukan uang pribadi, proyek ente yang nentuin, rekanan apalagi. Toh juga kalau jalan mulus, lampu terang, banyak wisatawan juga PAD mu yang meningkat. Mar 30",1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Baihaqy1793,15h,Baihaqy Dari profil udah jelas lu y ang lebih cocok putus sekolah,0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Baihaqy1793,18h,Baihaqy Oren bogor pada gt? Hahahahhaa 1.0 putus sekolah,0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Baihaqy1793,5h,Baihaqy Kasian si i beng dianggap putus sekolah sama,0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Baldjitot,7h,Begawai pengen bikin film yang premise nya boris bokir kena dan sukses buka toko batik lokal judulnya BUTIK BATIK BATAK phk,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BapakDariAnak2,27m,gdsk Lah dia sendiri ngaku mal ing...,0,0,0,0,0,0,0,1,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BaseBDG,1h,"BANDUNG FESS | Kirim menfess cek Siang euy barudak,
adakah di sini orang Bandung Barat yg kena ditahun 2024-2026 yg bersedia jadi subjek penelitian untuk di wawancara? mohon bantuannya phk",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BatamPos,16m,"Batampos hingga Hari ke -70, Warga Tanjung Sengkuang Masih Bergantung ke Truk Tangki Krisis Air",0,0,1,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BatamPos,18m,"Batampos hingga Hari ke -70, Warga Tanjung Sengkuang Masih Bergantung ke Truk Tangki Krisis Air",0,0,1,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BatamPos,Mar 28,Batampos Pungli Pungli,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BatamPos,Mar 31,"Batampos Krisis Air Atasi , Pemkab Bintan Targetkan Sumur Bor di Lobam Beroperasi dalam Dua Pekan",0,0,1,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BatamPos,Mar 31,Batampos Krisis Air Pemkab Bintan Siapkan Aliran Antarwaduk dan Sumur Bor untuk Atasi,0,0,1,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BdgBergerakID,BandungBergerak,BandungBergerak lewat reportase terbarunya menceritakan ini. Mari tengok dan bagikan artikelnya! #BandungBergerak Apr 3,1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BdgBergerakID,BandungBergerak,"Setiap hari keselamatan warga Bandung digadaikan akibat jalanan yang masih saja rusak dan berlubang. Beberapa bahkan sudah menjadi korban. 

BandungBergerak lewat reportase terbarunya menceritakan ini. Mari tengok dan bagikan artikelnya! /1546036290/dampak-proyek-galian-kabel-di-bandung-dari-jalan-rusak-hingga-pengendara-motor-terjatuh-sampai-pingsan … https:// Apr 2",1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BdgBergerakID,BandungBergerak,"“Ketika terjadi kecelakaan di jalan itu bukan kecelakaan yang sifatnya individu tapi karena kelalaian-kelalaian struktural yang dilakukan oleh pemerintah,” jelas Jejen. Apr 2",1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BeritaJakarta,Berita Jakarta,Munjirin Instruksikan Jalan Rusak di Jaktim Segera Diperbaiki Mar 31,1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Beritaintermezo,Sangkala.id,"Target 100 KM, Pemko Pekanbaru Genjot Perbaikan Jalan, 42 Km Jalan Rusak Ditargetkan Mulus Tahun Ini Apr 1",1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Berpikirjernihh,1h,"berpikirjernih.id Kasus terhadap aktivis Andrie Yunus menjadi perhatian publik. Namun, di tengah banyaknya informasi yang beredar, penting untuk tetap berpikir jernih dan tidak terburu-buru mengambil kesimpulan. Jangan mudah percaya narasi sepihak. kekerasan #BijakBermediaSosial",0,0,0,0,0,0,0,1,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Blake_Eiffel,23m,"Blake ˚✩ You're saying na may kilala kang ganyan, referring to the post na HINDI NAMIN GUSTO SUPORTAHAN.

Kung nagiisip ka ate, our response was to wait. Tinanong kami, sumagot kami. Mind you that was BEFORE the teaser post. Stop dragging us sa mali understanding mo maling",0,0,0,0,0,0,0,1,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@Blueinskyline,31m,skyblue Info les stir mobil manual area solo yang murce woy... Masih suka tb tb di tanjakan macet,0,0,0,0,1,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BogorBorde34758,5h,Border Bogor #pungli,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BoimAdji,5h,"BoimAdji Dimana l-mana itu salah, namanya saja pungli",0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@BorobudurNews_,IG: @BorobudurNews,"Support System Level Maksimal di Pelabuhan Merak!

Viral di media sosial, dua truk bermuatan penuh terlihat berjalan sangat mepet di jalan rusak kawasan Dermaga 1, Pelabuhan Merak 16h",1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
