waktu,username,teks_bersih,kategori_isu,urgensi,sentimen,lokasi_insiden
Apr 2,@caramelelehh,"Kiw air mati Bukan maksudnya waktu ada kendala kan , nah itu tetep kehitung bayar kak kalau airnya keluar cuma setetes setetes huhu",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 2,@SaigaiHaihai,"Shyguy_syaigai air keruh Yup om, jangan memancing di ya",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@Ibni_Sukri,#Ayuh أزري YB mgkn tknk Msia ada hanya sbb guna AI untuk poster ucapan mcm nie...,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@hourlyamell,amel air mati pen lgsg balik kos tp kos w bikin kesel mulu wifi mati laundry ga dibalikin hwswhwhhwhw STRES,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@nislia31,nili air mati Cobaan Uts =,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@KieJuun,͏ ͏ lagi ajaaa anjirrrsss air mati,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@gunhappy72,"Gun Happy air keruh Memancing di , berbahaya sarannya.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@seekracle,"seekracle air keruh Patih menteri peperangan jg suka main di , mkanya disuapin terus sama maharaja biar gak berontak.

Mknya program toko kelontong maharaja sebagian proyeknya di ksh ke patih menteri peperangan yg sbnrnya gak masuk akal, pdhal sudah ada patih menteri toko kelontong.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@kitaraoff,kitara_off air keruh kita x yah pencen.. yang menangguk di tu yang patut pencen..,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@pu_sda_citarum,"Balai Besar Wilayah Sungai Citarum krisis air Tanpa , dimulai dari kita.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@zy_zy_lestary,"ziii air keruh Tiap kali ada celah, hobinya selalu sama: memancing di . Gelar boleh negarawan, tapi narasi kok mirip makelar kerusuhan? Bukannya kasih solusi nyata buat bangsa, malah sibuk menebar racun pesimisme.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@Septinema,Peternak hamster + wifi lemot.. Mantab Air mati,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@juphiiter,dd abiyu mW CuCian BAju Tp Anjg,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@fajarkurnianto,OASE BUKU Air Keruh Saya menjual Mengail di (Taken at The Flood) | Agatha Christie (Novel) ORIGINAL seharga Rp38.400. Ayo beli di Shopee!,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@maunaikpangkat,"Name cannot be blank krisis air Berarti senadainya ada , bisa pake itu siwak tanpa banyak air ya 2.8K",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@ssyuniverse,"sissy krisis air udah mulai dan gas, paniknya ada bgt",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@rouppme,"NutaniMan krisis air 1. CADANGAN AIR

Musim panas itu .
Bagi yang masih ada hujan, bisa buat tampungan sekarang selagi hujan masih ada.

Misal:
Kolam terpal 5x3 meter = cadangan 30.000 liter.

Cukup untuk 2 bulan lahan 500m².",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@rdtlco,rdt PDAM mati Pagi-pagi air itu maksudnya gw gawe ga usah mandi?,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@boriariasuka,"Showa air mati ini kalau gue ga kuliah perkara , bagaimana ya?",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 1,@AbdulRahimWahab,"Abdul Rahim Wahab tidak ubah seperti,

""Ayam di kepuk mati kelaparan, itik di Negaraku

Terkait isu kenaikan harga bahan bakar, situasi air mati",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@Gagasanriau,"gagasanriau.com Krisis Air Bengkalis Bersih, Waduk Menjadi Daratan, Rakyat Dipaksa Beli Dahaga",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@IjazahPalsV,"Owi krisis air Cara berdagangnya gimana bang?
Pelabuhan dibom, bandara dibom, kilang minyak dibom, infrastruktur listrik dibom, infrastruktur air bersih dibom, bahkan universitas dibom.
Iran sudah ga punya masa depan, sebelum perang Iran , seminggu ke depan rakyatnya minum comberan",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@Aurumviz,aru air mati asramamampang ini 3 kali ya ankemgggg pas aku lagi mandi,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@partialblue,"𝕜𝕠𝕟𝕘 𝕏 𝕜𝕠𝕟𝕘 air keruh Mending diemin aja sih cenblue bolon Gini mAh emg mau mancing d doang, giliran d jawab malah plintat plintut jawabannya. Ke enakan si cenblue klo d kasih engagement terus mah",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@BatamPos,"Batampos Krisis Air Atasi , Pemkab Bintan Targetkan Sumur Bor di Lobam Beroperasi dalam Dua Pekan",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@Alisheryvx,𝐒𝐡𝐲𝐥.𝐚 air keruh kan hidup di jd ga ush heran klo pada sefrekuensi mereka,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@naomiyosephin,"Naomi YM Napitupulu air mati Tagihan dibayar gak boleh telat tp lampu mati berjam2 asik disuruh nunggu astagaaaaa klo gak ada anak kecil gue gak akan berisik
Ini anak gue nangis2 dua2 nya apagak makin mau pecah kepala
Apalagi dibekasi itu listrik mati ya jg",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@setyanindhita,"mama yo quiero air keruh Jodoh pasti ketemu. Rak ketang udah pating pletot, kotor, ambu got, dan ngambilnya diliat pake tatapan aneh orang2 lewat. Kek ngapain buibu ini jengkang-jengking ga jelas, di sebelah got penuh . Alhamdulillah atas anugerah mata elang ini ya Allah",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@dekregarrr,"malfoyyy krisis air Alhamdulillah hujan, berhasil juga solat istisqa' nya pak amsakar dan tim, semoga ga",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@serambinews,"Serambi Indonesia #AirBersih Asmawati (60), warga lainnya merasakan kesulitan ini karena setiap harinya terpaksa harus mengangkut air dari alur ke rumahnya yang berjarak kurang lebih 100 meter. “Mau beli gak ada uang, terpaksa angkut sendiri,” ungkapnya.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@BatamPos,Batampos Krisis Air Pemkab Bintan Siapkan Aliran Antarwaduk dan Sumur Bor untuk Atasi,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@Riz_Rizuka,Rizuka lagi pagi ini Air mati . Entah bagaimana cara pengelolaan dr PAM ini. Kenapa harus puluhan kali pelanggan komplain,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 31,@fkasaturn,obinᡴꪫ krisis air Bintan stop gw lagi haid,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@miamography,뿌뿌 ♡ unPILtered air mati udah dengerin piano 10 kali biarin bantal gue jadi saksi ini mengalir karna unpiltered,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@DKIJakarta,yuliati thio UDAH DARI 17 MARET GA BERES2..INFO GA ADA.. TOLONG INI PERUSAHAAN NEGARA LOH.. KERJANYA GA JELAS..BISA DICEK GA PAK BU..,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@aichandezuu,ay air mati Alamak cape bgt mulu,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@awaa65,abd wahab abd aziz krisis air Sempoi dah lebih 10 tahun tak settle settle juga,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@lapak_apaajah,Elite Gombalisasi air keruh test ombak di ..,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@rahajija,ija krisis air eh demi allah dah gue minum,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@UlmiAzary,"Ulmi Azary Ramdani air mati Ceritaku hari ini : bangun pagi, jadi tunggu jam 9 salon buka. Otw beli kacamata baru Krn hari pertama kerja, ke salon sampai siang, pulang kerja proyek, otw kerja, sore makan di resto anak gen Z, malam nongki dirumah teman, otw Taeng dan skrg capek belum pulang.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@KedaiPenaCom,"KedaiPenaCom krisis air Gerakan ini tidak hanya menghadirkan solusi atas , tetapi juga menjadi inspirasi bagi masyarakat luas untuk mengubah cara pandang terhadap sumber daya alam—dari sekadar pemanfaatan menjadi pelestarian yang berkelanjutan.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@pamjaya_dki,yuliati thio,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@Puspen_PKI,☭ air keruh inilah namanya memancing di sikat kak,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@nusabalicom,"NusaBali.com krisis air Memasuki April, Bali diprediksi mulai memasuki musim kemarau. Mengantisipasi potensi kekeringan dan bersih, Badan Penanggulangan Bencana Daerah (BPBD) Bali mendorong pemerintah kabupaten/kota melalui Dinas PUPR.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@PDAMKotaSMG,"PDAM Tirta Moedal krisis air Air Tanah Terbatas, Masa Depan Harus Dijaga

Penggunaan air tanah secara berlebihan dapat menyebabkan penurunan muka tanah, kerusakan lingkungan, hingga di masa depan.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@dahduh___,"INNI SOIM air mati air sungai warna hijau maksudnya euthropication or algae bloom. maknanya ekosistem air tak bagus. banyak industrial wastage fertilizers sampah buang dalam sungai jadinya bakteria buat bekwoh jadinya kurang oksigen, haiwan or tumbuhan dalam",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@bahana_ngawi,"BAHANA 104.5 FM | NGAWI™ Krisis Air Kemarau 2026 Diprediksi Ekstrem, BPBD Ngawi Siaga Antisipasi Bersih",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@cakrawartacom,"CAKRAWARTA Krisis Air BMKG Peringatkan Kemarau Ekstrem, JATA Desak Antisipasi di Jakarta",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@farid_gt,farid fadilah air keruh Min pliss.. jangan suka mancing di,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@sfathzee,"wa krisis air pernah nulis tentang ini pas tugas kalabahu bab hak ekosob, menyikapi thaharah dan .",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@avatarrangg,"Sayibu ciek . Fasilitasnya lengkap sih. Ada Toilet cewe cowo dipisah, air, mushola.. cuma pas pagi 4. Pos 4 Camp Area

Pas udah deket area camp kan lahannya kebuka karena bekas longsor ya.. jujur kaki kaya berat bgt? jd jalan naik 5 langkah lalu bengong air mati",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@myluvybin_,"ampe 3 hari tu gimana si cerita nya PDAM mati gk ad informasi nya pula.

Gile gile pagi² ngangkut air hujan dri depan rumah ke kamar mandi",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@logos_id,"Logos ID krisis air Pas juga bulan depan mimin akan presentasi beberapa bagian penelitian mimin ini di Yale, feel free untuk join!

Ada ngomongin penggunaan fisika untuk menyelesaikan (tapi tidak membuang pengetahuan adat), in case bisa buat lebih terbayang contoh tidak mengkotak2an ilmu.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@antimunafic,"MAMUT MENTENG air keruh Bangsa ini kehilangan tokoh yg bisa diandalkan lg shg menjadi bangsa hslu. Lalu dicarilah tokoh spt JK lah, Anies lah yg bisanya cuma memancing di",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 30,@drugsvr_,drugsvr air mati duh,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 29,@kiewikawirat,Kiew Kiew air keruh Warga hanya ingin satu hal: lingkungan aman. Bukan & jawaban menggantung.,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 29,@axleaves,"axlea dari siangggg, pingin BAB plis ini gimana udah malem lagi PDAM mati",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 29,@Pongggdx,Ponggg air keruh Berani-beraninya lu dil mancing di ckckck,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 29,@titikterangpers,Titik Terang Krisis Air Aksi Tolak Deforestasi di Prigen Pasuruan: Warga Khawatir,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 29,@arisandi2016,Free Palestine belum berakhir... Berdoalah untuk Gaza... Krisis air,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 29,@tonnysofijan,"tonny krisis air Dan seperti biasa, semangka dan seimin teriak-teriak soal bersih di Gaza.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 29,@topistraw,"Topi Jerami air mati Hari ini aku seharian rebahan di saungku, lg tiduran, ttangga call nanya ada air gk,  suami istri mau numpang mandi, entah knpa di rumahnya . Sambil nunggu istrinya mandi, sempat petik kelapa muda 3 buah kukasi mereka. Pokoknya siapapun kukasi kelapa muda kalo ke rumah.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Mar 29,@callmephiliaa,"callmephilia air mati ini kosan gue nerapin konsep cebok pake pasir atau tisu doang apa gimana sih, suka banget gaada air, udah tau pentinggg🫩 mana ga diinfo kenapa, diem2 aja jirrr, harus di tanya muluuu, sabar sabarrr bentar lagi pindahhh",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
